transaction_id,user_id,amount,transaction_type,merchant_category,country,hour,device_risk_score,ip_risk_score,is_fraud,amount_bucket,fraud_label,combined_risk_score,risk_tier
3983,271,64.97,POS,Grocery,TR,16,0.02,0.25,0,<100,Not Fraud,0.13,Low Risk
8777,568,117.16,POS,Food,DE,10,0.13,0.29,0,100-499,Not Fraud,0.21,Low Risk
2140,719,174.59,Online,Clothing,FR,6,0.17,0.21,0,100-499,Not Fraud,0.19,Low Risk
3084,161,98.82,ATM,Food,TR,19,0.20,0.05,0,<100,Not Fraud,0.13,Low Risk
7706,557,101.64,POS,Food,TR,15,0.08,0.16,0,100-499,Not Fraud,0.12,Low Risk
7574,421,138.33,POS,Electronics,FR,8,0.26,0.15,0,100-499,Not Fraud,0.21,Low Risk
4233,561,118.63,ATM,Travel,FR,15,0.02,0.06,0,100-499,Not Fraud,0.04,Low Risk
3826,920,109.36,ATM,Electronics,TR,8,0.06,0.03,0,100-499,Not Fraud,0.04,Low Risk
8966,430,140.47,POS,Grocery,US,9,0.01,0.10,0,100-499,Not Fraud,0.06,Low Risk
5329,968,120.12,POS,Clothing,FR,19,0.08,0.23,0,100-499,Not Fraud,0.16,Low Risk
6819,927,50.68,POS,Travel,TR,12,0.28,0.21,0,<100,Not Fraud,0.25,Low Risk
1711,813,173.98,ATM,Electronics,TR,9,0.00,0.09,0,100-499,Not Fraud,0.05,Low Risk
8484,879,53.25,POS,Electronics,FR,19,0.26,0.10,0,<100,Not Fraud,0.18,Low Risk
7710,984,26.69,Online,Electronics,US,17,0.25,0.10,0,<100,Not Fraud,0.18,Low Risk
4048,798,79.42,ATM,Food,US,8,0.01,0.15,0,<100,Not Fraud,0.08,Low Risk
4570,566,3.63,POS,Food,US,20,0.22,0.24,0,<100,Not Fraud,0.23,Low Risk
5474,94,123.14,Online,Food,UK,12,0.22,0.06,0,100-499,Not Fraud,0.14,Low Risk
4669,656,90.12,Online,Clothing,US,19,0.16,0.25,0,<100,Not Fraud,0.21,Low Risk
2459,900,49.77,QR,Electronics,DE,10,0.26,0.07,0,<100,Not Fraud,0.16,Low Risk
8065,822,91.06,Online,Clothing,FR,16,0.14,0.28,0,<100,Not Fraud,0.21,Low Risk
2577,71,127.58,QR,Clothing,UK,15,0.22,0.12,0,100-499,Not Fraud,0.17,Low Risk
3055,29,115.13,Online,Clothing,US,12,0.23,0.24,0,100-499,Not Fraud,0.24,Low Risk
7148,370,159.54,Online,Electronics,DE,15,0.19,0.27,0,100-499,Not Fraud,0.23,Low Risk
7100,122,5.48,ATM,Grocery,FR,15,0.05,0.11,0,<100,Not Fraud,0.08,Low Risk
9046,904,139.83,Online,Travel,DE,18,0.03,0.17,0,100-499,Not Fraud,0.1,Low Risk
6599,550,122.60,Online,Clothing,US,13,0.00,0.13,0,100-499,Not Fraud,0.07,Low Risk
7821,289,165.54,Online,Electronics,UK,18,0.07,0.23,0,100-499,Not Fraud,0.15,Low Risk
4263,81,132.90,POS,Electronics,FR,10,0.09,0.17,0,100-499,Not Fraud,0.13,Low Risk
2421,851,47.64,POS,Electronics,FR,22,0.17,0.05,0,<100,Not Fraud,0.11,Low Risk
9424,180,101.85,ATM,Food,DE,23,0.25,0.07,0,100-499,Not Fraud,0.16,Low Risk
858,422,107.19,ATM,Grocery,FR,23,0.18,0.07,0,100-499,Not Fraud,0.12,Low Risk
2617,886,91.44,QR,Grocery,TR,16,0.24,0.26,0,<100,Not Fraud,0.25,Low Risk
6602,687,138.71,Online,Electronics,UK,7,0.06,0.07,0,100-499,Not Fraud,0.07,Low Risk
7364,864,103.36,POS,Grocery,DE,14,0.11,0.20,0,100-499,Not Fraud,0.16,Low Risk
8924,383,115.47,ATM,Travel,UK,9,0.25,0.04,0,100-499,Not Fraud,0.14,Low Risk
5516,236,108.87,ATM,Clothing,TR,17,0.01,0.06,0,100-499,Not Fraud,0.04,Low Risk
430,644,101.36,ATM,Travel,FR,6,0.03,0.17,0,100-499,Not Fraud,0.1,Low Risk
780,963,124.61,Online,Travel,FR,10,0.05,0.06,0,100-499,Not Fraud,0.05,Low Risk
3134,313,136.82,ATM,Clothing,FR,6,0.12,0.01,0,100-499,Not Fraud,0.06,Low Risk
6656,225,96.46,POS,Grocery,TR,21,0.01,0.02,0,<100,Not Fraud,0.01,Low Risk
1619,469,11.67,POS,Travel,UK,15,0.01,0.14,0,<100,Not Fraud,0.08,Low Risk
6718,671,76.32,POS,Grocery,TR,6,0.13,0.21,0,<100,Not Fraud,0.17,Low Risk
4444,573,46.35,QR,Food,UK,19,0.19,0.11,0,<100,Not Fraud,0.15,Low Risk
4224,49,55.53,ATM,Food,FR,6,0.08,0.14,0,<100,Not Fraud,0.11,Low Risk
4045,196,169.04,POS,Food,TR,15,0.08,0.25,0,100-499,Not Fraud,0.16,Low Risk
8807,399,136.97,Online,Food,UK,21,0.27,0.16,0,100-499,Not Fraud,0.21,Low Risk
5198,935,91.08,Online,Travel,UK,20,0.17,0.11,0,<100,Not Fraud,0.14,Low Risk
4094,466,209.80,QR,Food,DE,19,0.13,0.11,0,100-499,Not Fraud,0.12,Low Risk
9468,739,50.14,POS,Clothing,US,12,0.11,0.21,0,<100,Not Fraud,0.16,Low Risk
8627,507,101.92,ATM,Food,DE,7,0.12,0.06,0,100-499,Not Fraud,0.09,Low Risk
9637,560,1148.38,POS,Travel,DE,19,0.95,0.84,1,1000+,Fraud,0.89,High Risk
4098,541,123.58,Online,Clothing,US,7,0.21,0.23,0,100-499,Not Fraud,0.22,Low Risk
4554,390,184.84,POS,Food,US,13,0.02,0.20,0,100-499,Not Fraud,0.11,Low Risk
9711,935,952.55,QR,Travel,UK,20,0.78,0.99,1,500-999,Fraud,0.88,High Risk
5481,532,104.42,Online,Food,FR,6,0.19,0.11,0,100-499,Not Fraud,0.15,Low Risk
9939,291,2865.42,ATM,Food,TR,13,0.83,0.90,1,1000+,Fraud,0.87,High Risk
2670,770,94.99,QR,Travel,DE,8,0.07,0.05,0,<100,Not Fraud,0.06,Low Risk
6904,310,1.00,POS,Food,DE,14,0.11,0.20,0,<100,Not Fraud,0.16,Low Risk
5261,594,32.69,POS,Food,UK,17,0.15,0.07,0,<100,Not Fraud,0.11,Low Risk
5119,413,78.26,ATM,Clothing,UK,17,0.24,0.13,0,<100,Not Fraud,0.18,Low Risk
1286,384,87.00,POS,Travel,TR,17,0.17,0.00,0,<100,Not Fraud,0.09,Low Risk
3477,282,122.42,Online,Electronics,FR,13,0.25,0.19,0,100-499,Not Fraud,0.22,Low Risk
7000,992,74.89,POS,Grocery,UK,6,0.25,0.05,0,<100,Not Fraud,0.15,Low Risk
4910,471,200.51,QR,Food,US,20,0.18,0.01,0,100-499,Not Fraud,0.09,Low Risk
7867,362,97.61,POS,Clothing,FR,9,0.00,0.26,0,<100,Not Fraud,0.13,Low Risk
2909,26,112.00,QR,Grocery,UK,11,0.06,0.03,0,100-499,Not Fraud,0.04,Low Risk
3556,116,84.72,Online,Grocery,DE,6,0.10,0.20,0,<100,Not Fraud,0.15,Low Risk
1062,438,104.46,POS,Electronics,DE,16,0.19,0.19,0,100-499,Not Fraud,0.19,Low Risk
7850,966,96.88,QR,Travel,DE,6,0.29,0.04,0,<100,Not Fraud,0.17,Low Risk
3658,332,75.07,ATM,Grocery,DE,20,0.10,0.28,0,<100,Not Fraud,0.19,Low Risk
5505,192,36.13,ATM,Food,US,7,0.09,0.06,0,<100,Not Fraud,0.07,Low Risk
8275,596,102.74,Online,Travel,US,23,0.00,0.11,0,100-499,Not Fraud,0.06,Low Risk
7595,666,90.70,POS,Electronics,US,7,0.24,0.11,0,<100,Not Fraud,0.18,Low Risk
9723,631,2830.43,POS,Clothing,US,4,0.93,0.74,1,1000+,Fraud,0.83,High Risk
5772,258,95.93,ATM,Travel,US,10,0.16,0.12,0,<100,Not Fraud,0.14,Low Risk
5378,707,146.73,Online,Food,DE,6,0.29,0.19,0,100-499,Not Fraud,0.24,Low Risk
6053,258,65.09,POS,Electronics,FR,11,0.15,0.29,0,<100,Not Fraud,0.22,Low Risk
7396,309,103.49,POS,Food,UK,13,0.28,0.17,0,100-499,Not Fraud,0.22,Low Risk
20,733,133.63,POS,Clothing,US,16,0.19,0.27,0,100-499,Not Fraud,0.23,Low Risk
170,590,58.47,QR,Clothing,FR,12,0.04,0.07,0,<100,Not Fraud,0.05,Low Risk
641,605,82.70,POS,Travel,US,20,0.16,0.19,0,<100,Not Fraud,0.17,Low Risk
3354,920,82.76,Online,Food,UK,23,0.29,0.20,0,<100,Not Fraud,0.25,Low Risk
1423,194,99.24,QR,Food,DE,22,0.16,0.14,0,<100,Not Fraud,0.15,Low Risk
2254,824,190.52,QR,Travel,TR,18,0.23,0.06,0,100-499,Not Fraud,0.15,Low Risk
1640,649,128.31,ATM,Food,DE,18,0.02,0.23,0,100-499,Not Fraud,0.13,Low Risk
7264,52,184.90,ATM,Food,DE,16,0.28,0.16,0,100-499,Not Fraud,0.22,Low Risk
9223,554,116.59,POS,Food,DE,7,0.19,0.14,0,100-499,Not Fraud,0.16,Low Risk
9507,706,2705.99,QR,Electronics,FR,10,0.77,0.80,1,1000+,Fraud,0.78,High Risk
6208,457,91.64,ATM,Grocery,UK,11,0.06,0.19,0,<100,Not Fraud,0.12,Low Risk
9248,355,95.68,POS,Food,US,15,0.04,0.19,0,<100,Not Fraud,0.11,Low Risk
1004,140,28.79,Online,Travel,TR,8,0.14,0.14,0,<100,Not Fraud,0.14,Low Risk
4876,773,80.66,ATM,Food,FR,13,0.29,0.17,0,<100,Not Fraud,0.23,Low Risk
1049,777,147.64,POS,Clothing,DE,12,0.13,0.26,0,100-499,Not Fraud,0.2,Low Risk
7330,393,11.07,POS,Clothing,UK,16,0.17,0.08,0,<100,Not Fraud,0.13,Low Risk
5266,3,168.75,Online,Food,TR,11,0.03,0.20,0,100-499,Not Fraud,0.12,Low Risk
6209,546,135.11,POS,Food,DE,6,0.14,0.16,0,100-499,Not Fraud,0.15,Low Risk
1515,193,124.66,ATM,Travel,TR,8,0.03,0.15,0,100-499,Not Fraud,0.09,Low Risk
4154,221,141.23,QR,Travel,TR,19,0.29,0.16,0,100-499,Not Fraud,0.22,Low Risk
1078,833,56.93,POS,Food,UK,16,0.16,0.16,0,<100,Not Fraud,0.16,Low Risk
4650,511,141.43,POS,Clothing,DE,21,0.02,0.11,0,100-499,Not Fraud,0.07,Low Risk
4181,730,170.65,ATM,Clothing,FR,12,0.20,0.21,0,100-499,Not Fraud,0.21,Low Risk
8490,752,186.91,POS,Clothing,US,8,0.04,0.21,0,100-499,Not Fraud,0.12,Low Risk
4305,481,88.35,POS,Travel,TR,17,0.02,0.26,0,<100,Not Fraud,0.14,Low Risk
2148,184,166.94,POS,Travel,UK,18,0.02,0.11,0,100-499,Not Fraud,0.07,Low Risk
6610,49,120.98,POS,Travel,DE,15,0.21,0.11,0,100-499,Not Fraud,0.16,Low Risk
4346,131,99.23,ATM,Travel,US,9,0.20,0.06,0,<100,Not Fraud,0.13,Low Risk
2021,375,149.30,Online,Food,UK,16,0.13,0.14,0,100-499,Not Fraud,0.13,Low Risk
6992,603,96.03,ATM,Travel,TR,19,0.22,0.18,0,<100,Not Fraud,0.2,Low Risk
7122,951,126.73,QR,Food,US,11,0.16,0.02,0,100-499,Not Fraud,0.09,Low Risk
8520,667,152.33,Online,Travel,TR,10,0.06,0.15,0,100-499,Not Fraud,0.1,Low Risk
7995,854,96.41,ATM,Travel,FR,6,0.03,0.05,0,<100,Not Fraud,0.04,Low Risk
4436,966,202.58,Online,Food,DE,20,0.14,0.11,0,100-499,Not Fraud,0.13,Low Risk
5807,366,22.28,POS,Travel,FR,11,0.30,0.07,0,<100,Not Fraud,0.19,Low Risk
2714,92,147.02,Online,Grocery,TR,6,0.20,0.11,0,100-499,Not Fraud,0.15,Low Risk
9984,63,2995.35,ATM,Grocery,NG,11,0.86,0.89,1,1000+,Fraud,0.88,High Risk
7375,234,167.09,Online,Clothing,US,10,0.08,0.10,0,100-499,Not Fraud,0.09,Low Risk
251,809,141.30,Online,Food,UK,22,0.11,0.06,0,100-499,Not Fraud,0.08,Low Risk
9820,840,10.00,Online,Travel,DE,18,0.75,0.90,1,<100,Fraud,0.82,High Risk
9929,735,2400.73,QR,Food,NG,15,0.99,0.98,1,1000+,Fraud,0.98,High Risk
3481,657,80.77,ATM,Electronics,UK,11,0.15,0.30,0,<100,Not Fraud,0.22,Low Risk
9701,64,1489.05,Online,Food,US,14,0.79,0.70,1,1000+,Fraud,0.74,High Risk
3952,44,92.20,POS,Travel,UK,8,0.03,0.27,0,<100,Not Fraud,0.15,Low Risk
7112,904,41.19,Online,Clothing,FR,7,0.28,0.13,0,<100,Not Fraud,0.21,Low Risk
3741,708,103.14,POS,Electronics,DE,20,0.00,0.19,0,100-499,Not Fraud,0.1,Low Risk
5296,433,151.14,QR,Food,TR,19,0.05,0.15,0,100-499,Not Fraud,0.1,Low Risk
9795,537,22.17,ATM,Clothing,US,4,0.99,0.92,1,<100,Fraud,0.96,High Risk
1956,267,93.92,ATM,Grocery,US,6,0.03,0.05,0,<100,Not Fraud,0.04,Low Risk
8908,282,10.35,POS,Electronics,US,13,0.25,0.06,0,<100,Not Fraud,0.15,Low Risk
5878,69,167.47,Online,Food,FR,22,0.28,0.18,0,100-499,Not Fraud,0.23,Low Risk
6637,662,70.38,POS,Food,US,7,0.21,0.22,0,<100,Not Fraud,0.22,Low Risk
2984,414,64.24,QR,Clothing,FR,10,0.07,0.09,0,<100,Not Fraud,0.08,Low Risk
5182,709,90.02,ATM,Food,TR,20,0.04,0.17,0,<100,Not Fraud,0.1,Low Risk
6129,215,74.06,Online,Grocery,TR,18,0.17,0.17,0,<100,Not Fraud,0.17,Low Risk
4067,593,102.35,ATM,Grocery,UK,19,0.10,0.14,0,100-499,Not Fraud,0.12,Low Risk
4006,66,177.81,ATM,Electronics,US,18,0.22,0.21,0,100-499,Not Fraud,0.22,Low Risk
5227,311,27.77,POS,Travel,FR,10,0.16,0.16,0,<100,Not Fraud,0.16,Low Risk
4087,216,1.00,Online,Grocery,DE,7,0.24,0.02,0,<100,Not Fraud,0.13,Low Risk
5935,791,88.52,Online,Clothing,TR,12,0.11,0.24,0,<100,Not Fraud,0.18,Low Risk
1051,344,56.41,QR,Grocery,TR,9,0.22,0.23,0,<100,Not Fraud,0.23,Low Risk
4121,547,137.58,POS,Travel,TR,19,0.23,0.14,0,100-499,Not Fraud,0.19,Low Risk
2322,667,111.50,Online,Clothing,TR,22,0.28,0.17,0,100-499,Not Fraud,0.22,Low Risk
1278,206,3.57,ATM,Clothing,FR,10,0.22,0.24,0,<100,Not Fraud,0.23,Low Risk
2009,35,125.42,QR,Food,US,17,0.18,0.10,0,100-499,Not Fraud,0.14,Low Risk
2262,842,171.03,ATM,Grocery,DE,6,0.21,0.16,0,100-499,Not Fraud,0.18,Low Risk
239,784,65.40,Online,Electronics,FR,7,0.24,0.06,0,<100,Not Fraud,0.15,Low Risk
3199,846,1.00,ATM,Electronics,US,21,0.05,0.08,0,<100,Not Fraud,0.06,Low Risk
5197,486,36.86,QR,Grocery,TR,13,0.13,0.05,0,<100,Not Fraud,0.09,Low Risk
2889,781,128.70,Online,Electronics,US,14,0.29,0.09,0,100-499,Not Fraud,0.19,Low Risk
5434,690,64.05,ATM,Travel,TR,7,0.06,0.10,0,<100,Not Fraud,0.08,Low Risk
2581,508,19.30,Online,Electronics,DE,8,0.22,0.17,0,<100,Not Fraud,0.19,Low Risk
8204,891,25.71,Online,Electronics,US,11,0.10,0.00,0,<100,Not Fraud,0.05,Low Risk
5352,473,176.68,Online,Food,US,15,0.00,0.12,0,100-499,Not Fraud,0.06,Low Risk
5148,203,184.84,Online,Electronics,UK,15,0.16,0.06,0,100-499,Not Fraud,0.11,Low Risk
2879,803,107.83,POS,Food,DE,12,0.20,0.25,0,100-499,Not Fraud,0.22,Low Risk
6626,973,158.66,POS,Clothing,DE,18,0.28,0.21,0,100-499,Not Fraud,0.25,Low Risk
9728,572,10.00,ATM,Clothing,US,16,0.85,0.80,1,<100,Fraud,0.82,High Risk
814,660,64.69,QR,Grocery,TR,11,0.14,0.13,0,<100,Not Fraud,0.13,Low Risk
8226,896,102.43,POS,Food,DE,15,0.06,0.27,0,100-499,Not Fraud,0.17,Low Risk
8156,540,134.56,POS,Travel,UK,6,0.28,0.04,0,100-499,Not Fraud,0.16,Low Risk
4812,139,109.54,POS,Food,FR,11,0.03,0.29,0,100-499,Not Fraud,0.16,Low Risk
7788,627,148.33,POS,Electronics,UK,14,0.05,0.03,0,100-499,Not Fraud,0.04,Low Risk
7343,773,111.92,QR,Clothing,US,8,0.18,0.04,0,100-499,Not Fraud,0.11,Low Risk
4026,507,91.07,QR,Electronics,UK,23,0.09,0.16,0,<100,Not Fraud,0.13,Low Risk
316,117,101.61,ATM,Grocery,TR,23,0.17,0.02,0,100-499,Not Fraud,0.09,Low Risk
5012,241,92.99,POS,Clothing,US,17,0.21,0.19,0,<100,Not Fraud,0.2,Low Risk
8314,441,65.07,QR,Grocery,UK,12,0.04,0.29,0,<100,Not Fraud,0.17,Low Risk
1635,954,14.24,QR,Clothing,FR,22,0.10,0.24,0,<100,Not Fraud,0.17,Low Risk
2906,20,105.90,POS,Food,FR,22,0.01,0.16,0,100-499,Not Fraud,0.09,Low Risk
7826,127,77.83,Online,Electronics,UK,10,0.04,0.24,0,<100,Not Fraud,0.14,Low Risk
1848,510,110.94,QR,Travel,UK,17,0.03,0.10,0,100-499,Not Fraud,0.07,Low Risk
6186,762,65.07,Online,Clothing,US,21,0.17,0.08,0,<100,Not Fraud,0.13,Low Risk
4474,886,98.11,ATM,Electronics,TR,18,0.16,0.17,0,<100,Not Fraud,0.17,Low Risk
560,570,162.86,POS,Clothing,FR,7,0.01,0.22,0,100-499,Not Fraud,0.12,Low Risk
4685,93,48.21,QR,Food,UK,19,0.25,0.05,0,<100,Not Fraud,0.15,Low Risk
9500,438,1927.70,POS,Grocery,NG,21,1.00,0.80,1,1000+,Fraud,0.9,High Risk
2985,338,102.77,Online,Clothing,UK,23,0.05,0.11,0,100-499,Not Fraud,0.08,Low Risk
4996,128,77.21,Online,Electronics,TR,17,0.06,0.21,0,<100,Not Fraud,0.13,Low Risk
4499,679,23.02,Online,Grocery,TR,12,0.08,0.19,0,<100,Not Fraud,0.13,Low Risk
383,518,148.70,QR,Grocery,TR,10,0.01,0.07,0,100-499,Not Fraud,0.04,Low Risk
7817,343,135.68,ATM,Travel,US,23,0.14,0.17,0,100-499,Not Fraud,0.15,Low Risk
9345,600,128.14,ATM,Travel,US,18,0.01,0.18,0,100-499,Not Fraud,0.09,Low Risk
9211,601,86.78,Online,Clothing,TR,10,0.10,0.09,0,<100,Not Fraud,0.09,Low Risk
1041,467,84.62,QR,Clothing,US,11,0.25,0.11,0,<100,Not Fraud,0.18,Low Risk
8650,76,51.18,QR,Electronics,FR,14,0.08,0.18,0,<100,Not Fraud,0.13,Low Risk
3464,177,41.00,POS,Travel,UK,10,0.25,0.23,0,<100,Not Fraud,0.24,Low Risk
6571,537,107.22,POS,Food,DE,10,0.09,0.19,0,100-499,Not Fraud,0.14,Low Risk
3567,682,71.39,POS,Food,US,10,0.25,0.15,0,<100,Not Fraud,0.2,Low Risk
2597,25,33.75,POS,Clothing,DE,7,0.03,0.09,0,<100,Not Fraud,0.06,Low Risk
2858,878,163.76,QR,Food,FR,8,0.22,0.19,0,100-499,Not Fraud,0.2,Low Risk
4107,721,36.31,Online,Food,TR,13,0.14,0.03,0,<100,Not Fraud,0.08,Low Risk
4195,483,161.71,QR,Electronics,UK,23,0.27,0.00,0,100-499,Not Fraud,0.14,Low Risk
4821,747,31.59,Online,Electronics,TR,19,0.07,0.06,0,<100,Not Fraud,0.07,Low Risk
6518,947,73.39,POS,Electronics,US,20,0.29,0.09,0,<100,Not Fraud,0.19,Low Risk
4603,179,38.74,POS,Travel,FR,13,0.28,0.11,0,<100,Not Fraud,0.19,Low Risk
5156,782,177.57,Online,Electronics,TR,22,0.09,0.03,0,100-499,Not Fraud,0.06,Low Risk
7602,880,96.30,ATM,Grocery,DE,7,0.05,0.24,0,<100,Not Fraud,0.15,Low Risk
9307,63,143.78,Online,Clothing,FR,12,0.18,0.29,0,100-499,Not Fraud,0.24,Low Risk
9575,622,1110.13,ATM,Electronics,US,4,0.98,0.83,1,1000+,Fraud,0.9,High Risk
2344,569,101.94,QR,Electronics,TR,10,0.30,0.17,0,100-499,Not Fraud,0.23,Low Risk
2379,183,103.23,ATM,Electronics,UK,11,0.05,0.19,0,100-499,Not Fraud,0.12,Low Risk
3176,598,123.41,Online,Travel,US,20,0.29,0.02,0,100-499,Not Fraud,0.15,Low Risk
7796,604,23.94,Online,Grocery,TR,13,0.22,0.14,0,<100,Not Fraud,0.18,Low Risk
9138,110,111.04,Online,Clothing,FR,17,0.29,0.05,0,100-499,Not Fraud,0.17,Low Risk
3299,210,99.46,ATM,Food,FR,23,0.18,0.25,0,<100,Not Fraud,0.21,Low Risk
5656,199,182.63,QR,Clothing,DE,11,0.23,0.23,0,100-499,Not Fraud,0.23,Low Risk
1781,767,81.50,ATM,Clothing,FR,10,0.04,0.28,0,<100,Not Fraud,0.16,Low Risk
8105,809,149.55,QR,Grocery,DE,12,0.20,0.28,0,100-499,Not Fraud,0.24,Low Risk
688,660,129.50,ATM,Travel,TR,23,0.01,0.29,0,100-499,Not Fraud,0.15,Low Risk
9119,684,104.94,QR,Food,TR,15,0.16,0.02,0,100-499,Not Fraud,0.09,Low Risk
2963,953,56.02,POS,Clothing,DE,7,0.16,0.29,0,<100,Not Fraud,0.23,Low Risk
4977,873,95.13,QR,Electronics,DE,19,0.07,0.27,0,<100,Not Fraud,0.17,Low Risk
842,868,111.56,POS,Clothing,TR,21,0.15,0.08,0,100-499,Not Fraud,0.12,Low Risk
5231,877,186.94,Online,Food,US,22,0.04,0.05,0,100-499,Not Fraud,0.05,Low Risk
71,684,88.56,POS,Clothing,US,9,0.19,0.25,0,<100,Not Fraud,0.22,Low Risk
4538,339,1.00,ATM,Clothing,TR,10,0.21,0.01,0,<100,Not Fraud,0.11,Low Risk
6903,59,29.85,QR,Electronics,FR,16,0.17,0.18,0,<100,Not Fraud,0.17,Low Risk
6091,301,81.15,QR,Electronics,UK,10,0.06,0.18,0,<100,Not Fraud,0.12,Low Risk
1077,366,72.25,POS,Clothing,UK,10,0.24,0.27,0,<100,Not Fraud,0.26,Low Risk
9754,616,1094.09,ATM,Electronics,TR,9,1.00,0.90,1,1000+,Fraud,0.95,High Risk
8773,486,93.84,ATM,Food,UK,23,0.12,0.03,0,<100,Not Fraud,0.07,Low Risk
3702,24,118.61,POS,Clothing,DE,17,0.07,0.15,0,100-499,Not Fraud,0.11,Low Risk
5176,354,91.22,Online,Grocery,DE,22,0.05,0.25,0,<100,Not Fraud,0.15,Low Risk
8888,256,115.03,POS,Travel,FR,18,0.06,0.26,0,100-499,Not Fraud,0.16,Low Risk
6462,641,49.96,Online,Grocery,DE,6,0.04,0.22,0,<100,Not Fraud,0.13,Low Risk
3102,59,26.86,ATM,Food,FR,10,0.09,0.10,0,<100,Not Fraud,0.09,Low Risk
7899,960,7.68,POS,Travel,DE,22,0.02,0.09,0,<100,Not Fraud,0.06,Low Risk
2052,824,75.47,QR,Food,DE,14,0.08,0.09,0,<100,Not Fraud,0.09,Low Risk
6723,214,101.34,POS,Electronics,US,8,0.08,0.22,0,100-499,Not Fraud,0.15,Low Risk
7907,438,89.87,QR,Clothing,DE,19,0.14,0.24,0,<100,Not Fraud,0.19,Low Risk
434,433,1.00,Online,Grocery,TR,20,0.21,0.04,0,<100,Not Fraud,0.12,Low Risk
3457,426,137.06,QR,Food,TR,15,0.25,0.02,0,100-499,Not Fraud,0.14,Low Risk
987,887,65.11,Online,Electronics,US,16,0.30,0.17,0,<100,Not Fraud,0.23,Low Risk
5612,364,97.61,QR,Food,FR,9,0.16,0.28,0,<100,Not Fraud,0.22,Low Risk
8510,680,64.50,Online,Food,DE,6,0.03,0.20,0,<100,Not Fraud,0.12,Low Risk
